hora,km_to_CO,start station id,cantidad_de_viajes,distancia_recorrida_sum,duracion_del_viaje,date_local,contaminante_co
15,0.4474,200,1,6.6611,1949,2019-01-02,0.33
16,0.4474,200,1,0.9254,338,2019-01-03,0.251
18,0.4474,200,1,0.9254,207,2019-01-03,0.37799999999999995
08,0.4474,200,2,5.1531,1228,2019-01-04,0.304
15,0.4474,200,2,2.6007,788,2019-01-04,0.32
08,0.4474,200,1,0.7628,277,2019-01-08,0.314
09,0.4474,200,1,0.8690000000000001,272,2019-01-08,0.27899999999999997
08,0.4474,200,2,1.6318000000000001,478,2019-01-10,0.21100000000000002
09,0.4474,200,1,0.8690000000000001,244,2019-01-10,0.179
13,0.4474,200,1,1.31,730,2019-01-10,0.165
15,0.4474,200,1,2.4639,589,2019-01-11,0.19399999999999998
15,0.4474,200,1,0.3428,952,2019-01-14,0.284
17,0.4474,200,1,2.8888,735,2019-01-14,0.46
18,0.4474,200,1,1.6753,1042,2019-01-15,0.26
16,0.4474,200,1,2.2257,2303,2019-01-16,0.33
11,0.4474,200,1,2.1131,834,2019-01-18,0.253
17,0.4474,200,1,6.8204,1897,2019-01-23,0.32
13,0.4474,200,1,2.1356,583,2019-01-26,0.198
13,0.4474,200,1,1.31,481,2019-01-27,0.17800000000000002
08,0.4474,200,1,0.7628,239,2019-01-28,0.207
17,0.4474,200,1,6.8204,1622,2019-01-28,0.272
17,0.4474,200,1,6.8204,1676,2019-01-29,0.266
17,0.4474,200,1,1.31,440,2019-01-31,0.355
09,0.4474,200,1,0.8690000000000001,235,2019-02-03,0.22
14,0.4474,200,1,2.4205,2617,2019-02-03,0.313
17,0.4474,200,1,0.3428,140,2019-02-03,0.43799999999999994
10,0.4474,200,1,2.443,946,2019-02-04,0.307
14,0.4474,200,2,3.5792,1321,2019-02-04,0.293
16,0.4474,200,3,12.5657,3713,2019-02-04,0.364
18,0.4474,200,1,6.6611,2039,2019-02-04,0.327
11,0.4474,200,1,0.8690000000000001,216,2019-02-05,0.34600000000000003
16,0.4474,200,2,9.567599999999999,2313,2019-02-05,0.281
17,0.4474,200,2,4.7717,1727,2019-02-05,0.401
16,0.4474,200,1,1.1153,440,2019-02-06,0.204
16,0.4474,200,1,2.8035,907,2019-02-07,0.326
17,0.4474,200,1,2.9306,2418,2019-02-07,0.3
07,0.4474,200,1,3.819,977,2019-02-08,0.35200000000000004
15,0.4474,200,1,1.1153,318,2019-02-08,0.231
17,0.4474,200,2,4.9277999999999995,1427,2019-02-08,0.21899999999999997
16,0.4474,200,1,3.3828,1135,2019-02-09,0.16399999999999998
11,0.4474,200,1,2.2257,607,2019-02-10,0.168
13,0.4474,200,1,0.3428,108,2019-02-10,0.166
18,0.4474,200,1,1.6269999999999998,550,2019-02-11,0.20800000000000002
11,0.4474,200,1,0.9254,463,2019-02-16,0.19
16,0.4474,200,2,4.1617999999999995,1083,2019-02-17,0.19899999999999998
12,0.4474,200,1,0.7628,256,2019-02-19,0.20800000000000002
16,0.4474,200,1,6.8204,1694,2019-02-19,0.198
13,0.4474,200,1,5.3897,2288,2019-02-20,0.26899999999999996
17,0.4474,200,1,1.5691,472,2019-02-20,0.395
11,0.4474,200,1,0.8690000000000001,270,2019-02-22,0.187
18,0.4474,200,1,1.6753,598,2019-02-22,0.272
11,0.4474,200,1,0.9254,436,2019-02-23,0.253
07,0.4474,200,1,0.3428,193,2019-02-25,0.21100000000000002
15,0.4474,200,1,0.3428,974,2019-02-28,0.209
13,0.4474,200,1,1.413,459,2019-03-11,0.23399999999999999
17,0.4474,200,1,4.2197,1152,2019-03-11,0.225
11,0.4474,200,1,0.8690000000000001,211,2019-03-12,0.17600000000000002
17,0.4474,200,1,6.6611,2232,2019-03-12,0.23800000000000002
18,0.4474,200,1,1.1153,326,2019-03-12,0.221
08,0.4474,200,1,3.819,1186,2019-03-13,0.28300000000000003
09,0.4474,200,1,0.0,12656,2019-03-13,0.293
11,0.4474,200,1,0.8690000000000001,311,2019-03-13,0.273
14,0.4474,200,1,1.1153,341,2019-03-13,0.23600000000000002
11,0.4474,200,1,0.8690000000000001,234,2019-03-14,0.24100000000000002
17,0.4474,200,1,2.4639,557,2019-03-14,0.29100000000000004
08,0.4474,200,1,1.1153,302,2019-03-15,0.201
12,0.4474,200,1,1.4838,345,2019-03-15,0.195
15,0.4474,200,1,2.818,799,2019-03-16,0.175
09,0.4474,200,1,3.3828,987,2019-03-18,0.205
10,0.4474,200,1,4.2197,1188,2019-03-19,0.184
11,0.4474,200,1,0.8690000000000001,188,2019-03-19,0.19
17,0.4474,200,1,0.3428,687,2019-03-19,0.235
18,0.4474,200,1,3.6564,1511,2019-03-19,0.20800000000000002
08,0.4474,200,1,3.819,1155,2019-03-20,0.312
11,0.4474,200,1,0.8690000000000001,282,2019-03-20,0.207
17,0.4474,200,1,4.4901,1057,2019-03-20,0.254
14,0.4474,200,1,2.4639,666,2019-03-21,0.24100000000000002
17,0.4474,200,1,5.2497,1578,2019-03-22,0.23199999999999998
16,0.4474,200,1,0.3428,641,2019-03-23,0.19399999999999998
09,0.4474,200,1,3.3008,1127,2019-03-24,0.17600000000000002
12,0.4474,200,1,0.9254,208,2019-03-24,0.191
13,0.4474,200,1,2.443,1127,2019-03-24,0.196
15,0.4474,200,2,1.4065,391,2019-03-24,0.215
16,0.4474,200,1,0.8690000000000001,182,2019-03-24,0.182
08,0.4474,200,1,2.8035,914,2019-03-25,0.16399999999999998
13,0.4474,200,1,2.818,910,2019-03-25,0.185
08,0.4474,200,1,4.173,1361,2019-03-27,0.21100000000000002
12,0.4474,200,1,1.1153,351,2019-03-27,0.17300000000000001
16,0.4474,200,1,2.0455,818,2019-03-27,0.218
18,0.4474,200,1,0.6437,168,2019-03-27,0.23800000000000002
11,0.4474,200,1,0.8690000000000001,210,2019-03-28,0.214
13,0.4474,200,1,2.2257,643,2019-03-28,0.191
11,0.4474,200,1,0.8690000000000001,205,2019-03-29,0.22699999999999998
17,0.4474,200,1,1.5707,379,2019-03-29,0.358
19,0.4474,200,1,5.9658,1624,2019-03-29,0.396
11,0.4474,200,1,0.9254,315,2019-03-30,0.273
13,0.4474,200,1,0.9254,360,2019-03-30,0.27899999999999997
15,0.4474,200,1,0.7628,538,2019-03-30,0.245
19,0.4474,200,1,0.7628,275,2019-03-30,0.20199999999999999
10,0.4474,200,1,2.8888,894,2019-03-31,0.14300000000000002
13,0.4474,200,1,1.7494,506,2019-03-31,0.201
13,0.4474,200,2,5.6022,1891,2019-04-01,0.177
17,0.4474,200,2,7.4931,2047,2019-04-01,0.20199999999999999
16,0.4474,200,1,3.2975,16249,2019-04-02,0.22899999999999998
18,0.4474,200,1,1.413,318,2019-04-02,0.18100000000000002
15,0.4474,200,1,5.8918,1645,2019-04-03,0.187
16,0.4474,200,1,0.9254,306,2019-04-03,0.19699999999999998
19,0.4474,200,1,6.6611,1980,2019-04-03,0.163
20,0.4474,200,1,2.8035,966,2019-04-03,0.165
12,0.4474,200,2,4.622,1812,2019-04-04,0.175
11,0.4474,200,1,0.8690000000000001,216,2019-04-05,0.233
15,0.4474,200,1,3.2525,1480,2019-04-05,0.228
16,0.4474,200,1,4.0749,1213,2019-04-05,0.233
18,0.4474,200,1,2.7166,775,2019-04-05,0.267
16,0.4474,200,1,0.8690000000000001,312,2019-04-06,0.204
17,0.4474,200,1,0.9254,580,2019-04-06,0.19399999999999998
18,0.4474,200,4,8.0708,19583,2019-04-06,0.17600000000000002
19,0.4474,200,1,4.0974,6699,2019-04-06,0.27399999999999997
09,0.4474,200,1,3.3635,1297,2019-04-07,0.19899999999999998
10,0.4474,200,2,6.4389,2149,2019-04-07,0.195
13,0.4474,200,3,11.046600000000002,2935,2019-04-07,0.222
17,0.4474,200,2,8.3123,2521,2019-04-08,0.17600000000000002
13,0.4474,200,1,4.5593,1509,2019-04-09,0.19899999999999998
17,0.4474,200,1,5.8918,1419,2019-04-09,0.21899999999999997
08,0.4474,200,1,1.1153,453,2019-04-10,0.204
17,0.4474,200,1,1.413,404,2019-04-10,0.198
11,0.4474,200,1,2.443,763,2019-04-11,0.17
17,0.4474,200,2,2.826,700,2019-04-11,0.263
18,0.4474,200,1,2.7166,967,2019-04-11,0.245
18,0.4474,200,1,3.6564,827,2019-04-12,0.287
20,0.4474,200,1,0.6437,2138,2019-04-12,0.27699999999999997
15,0.4474,200,1,2.929,840,2019-04-13,0.2
16,0.4474,200,1,2.2965,2261,2019-04-13,0.218
17,0.4474,200,2,12.1602,5440,2019-04-13,0.293
18,0.4474,200,1,5.0163,1212,2019-04-13,0.268
19,0.4474,200,1,4.2744,5168,2019-04-13,0.272
10,0.4474,200,2,7.0007,2227,2019-04-14,0.23
12,0.4474,200,2,5.7164,5295,2019-04-14,0.188
15,0.4474,200,4,8.812800000000001,7357,2019-04-14,0.16399999999999998
17,0.4474,200,1,3.1833,980,2019-04-15,0.19699999999999998
18,0.4474,200,1,1.413,735,2019-04-15,0.18600000000000003
16,0.4474,200,1,2.4205,947,2019-04-16,0.175
18,0.4474,200,1,1.1153,355,2019-04-16,0.20800000000000002
18,0.4474,200,1,4.4852,979,2019-04-17,0.22
14,0.4474,200,1,6.2909,1678,2019-04-18,0.20800000000000002
17,0.4474,200,2,7.660500000000001,2435,2019-04-18,0.24100000000000002
15,0.4474,200,3,11.0208,11526,2019-04-19,0.155
17,0.4474,200,1,0.7628,279,2019-04-19,0.183
18,0.4474,200,2,3.1833,1956,2019-04-19,0.207
19,0.4474,200,2,1.8508,8443,2019-04-19,0.19699999999999998
16,0.4474,200,1,1.1153,380,2019-04-20,0.177
08,0.4474,200,1,0.7628,283,2019-04-22,0.21899999999999997
08,0.4474,200,1,0.7628,246,2019-04-23,0.217
13,0.4474,200,1,3.2525,2481,2019-04-23,0.247
17,0.4474,200,5,13.854800000000001,5556,2019-04-23,0.18600000000000003
08,0.4474,200,2,4.9358,1610,2019-04-24,0.282
09,0.4474,200,1,0.0,20495,2019-04-24,0.245
16,0.4474,200,2,2.5282999999999998,808,2019-04-24,0.17
17,0.4474,200,2,1.1056,488,2019-04-24,0.159
13,0.4474,200,1,0.3428,620,2019-04-27,0.18100000000000002
15,0.4474,200,1,4.4901,3290,2019-04-27,0.185
09,0.4474,200,1,1.4838,1330,2019-04-28,0.161
10,0.4474,200,1,4.7395,1452,2019-04-29,0.16899999999999998
11,0.4474,200,1,2.443,797,2019-04-29,0.17600000000000002
16,0.4474,200,1,2.2933,757,2019-04-29,0.177
17,0.4474,200,3,7.786,4595,2019-04-29,0.212
16,0.4474,200,1,6.7641,2325,2019-04-30,0.268
18,0.4474,200,1,2.7874,774,2019-04-30,0.21
08,0.4474,200,1,0.7628,213,2019-05-01,0.462
11,0.4474,200,1,0.8690000000000001,272,2019-05-01,0.37799999999999995
16,0.4474,200,1,2.8035,724,2019-05-01,0.267
17,0.4474,200,3,8.7323,2502,2019-05-01,0.293
19,0.4474,200,1,6.3939,1995,2019-05-01,0.258
10,0.4474,200,1,3.3828,965,2019-05-03,0.231
11,0.4474,200,1,0.8690000000000001,234,2019-05-03,0.23600000000000002
12,0.4474,200,2,5.4267,1910,2019-05-05,0.162
15,0.4474,200,2,4.438599999999999,3669,2019-05-05,0.168
11,0.4474,200,1,5.0839,1651,2019-05-06,0.19899999999999998
16,0.4474,200,1,4.3903,1057,2019-05-06,0.168
17,0.4474,200,2,3.9992,1357,2019-05-06,0.17300000000000001
18,0.4474,200,3,1.8780999999999999,2205,2019-05-06,0.198
18,0.4474,200,1,6.6611,2066,2019-05-07,0.19899999999999998
11,0.4474,200,1,1.6753,778,2019-05-08,0.182
17,0.4474,200,2,6.8332999999999995,2185,2019-05-08,0.19699999999999998
07,0.4474,200,1,4.6768,1848,2019-05-09,0.193
10,0.4474,200,1,2.4044,697,2019-05-09,0.151
13,0.4474,200,1,1.6303,912,2019-05-09,0.171
14,0.4474,200,2,2.2306,1417,2019-05-09,0.16899999999999998
17,0.4474,200,1,1.3132,524,2019-05-09,0.17600000000000002
08,0.4474,200,1,4.1843,1332,2019-05-10,0.18600000000000003
10,0.4474,200,1,4.3903,1100,2019-05-10,0.19699999999999998
14,0.4474,200,1,2.4205,915,2019-05-10,0.231
17,0.4474,200,2,7.6911000000000005,2285,2019-05-10,0.223
18,0.4474,200,1,2.5363,849,2019-05-10,0.299
12,0.4474,200,1,1.1153,2227,2019-05-11,0.134
17,0.4474,200,3,6.5838,6726,2019-05-11,0.145
16,0.4474,200,3,6.360099999999999,3470,2019-05-13,0.168
17,0.4474,200,2,6.513,2306,2019-05-13,0.157
09,0.4474,200,1,4.7395,1410,2019-05-14,0.17
11,0.4474,200,1,0.8690000000000001,238,2019-05-14,0.159
11,0.4474,200,1,0.7628,1173,2019-05-15,0.152
12,0.4474,200,1,2.1726,802,2019-05-15,0.165
17,0.4474,200,1,1.1153,338,2019-05-15,0.17300000000000001
18,0.4474,200,1,6.6611,1957,2019-05-15,0.221
20,0.4474,200,1,1.1072,244,2019-05-15,0.452
08,0.4474,200,3,8.241399999999999,2606,2019-05-16,0.21600000000000003
09,0.4474,200,1,4.7395,1284,2019-05-16,0.179
12,0.4474,200,1,0.8690000000000001,195,2019-05-16,0.198
14,0.4474,200,1,1.31,599,2019-05-16,0.179
16,0.4474,200,3,5.0356000000000005,4391,2019-05-16,0.212
17,0.4474,200,1,5.3929,1479,2019-05-16,0.268
18,0.4474,200,2,1.4581,1468,2019-05-16,0.28
19,0.4474,200,1,1.1153,275,2019-05-16,0.325
18,0.4474,200,3,11.3652,11289,2019-05-17,0.455
19,0.4474,200,1,2.4205,1306,2019-05-17,0.408
08,0.4474,200,1,0.3428,6338,2019-05-18,0.132
09,0.4474,200,1,5.1773,1368,2019-05-18,0.129
12,0.4474,200,2,4.5866,1359,2019-05-18,0.133
14,0.4474,200,2,5.664899999999999,1626,2019-05-18,0.183
15,0.4474,200,1,1.1153,326,2019-05-18,0.154
15,0.4474,200,3,10.5009,4197,2019-05-19,0.17
16,0.4474,200,1,0.3428,1531,2019-05-19,0.15
18,0.4474,200,2,1.9135,1123,2019-05-19,0.17600000000000002
08,0.4474,200,1,0.7628,233,2019-05-20,0.255
15,0.4474,200,1,2.1726,1318,2019-05-20,0.218
09,0.4474,200,1,4.7395,1377,2019-05-21,0.128
10,0.4474,200,1,1.31,3241,2019-05-21,0.12
15,0.4474,200,1,4.2986,1391,2019-05-21,0.133
16,0.4474,200,3,9.1234,3730,2019-05-21,0.13
17,0.4474,200,1,3.3008,1076,2019-05-21,0.122
18,0.4474,200,1,4.3903,1274,2019-05-21,0.136
20,0.4474,200,1,3.5003,1512,2019-05-21,0.145
07,0.4474,200,1,5.3768,2021,2019-05-22,0.126
08,0.4474,200,1,0.7628,258,2019-05-22,0.133
11,0.4474,200,1,1.2537,228,2019-05-22,0.12300000000000001
14,0.4474,200,2,0.6856,243,2019-05-22,0.172
17,0.4474,200,1,1.413,387,2019-05-22,0.171
07,0.4474,200,1,2.5363,938,2019-05-23,0.16399999999999998
08,0.4474,200,2,1.6318000000000001,6369,2019-05-23,0.161
11,0.4474,200,2,5.608499999999999,1399,2019-05-23,0.193
13,0.4474,200,2,3.8174,1230,2019-05-23,0.172
19,0.4474,200,3,9.047699999999999,3003,2019-05-23,0.175
08,0.4474,200,1,0.7628,235,2019-05-24,0.161
11,0.4474,200,2,1.0944,923,2019-05-24,0.14300000000000002
12,0.4474,200,2,10.0632,5462,2019-05-25,0.209
14,0.4474,200,3,12.0572,5786,2019-05-25,0.165
14,0.4474,200,1,3.3008,1145,2019-05-26,0.157
15,0.4474,200,2,4.886,1699,2019-05-26,0.133
19,0.4474,200,2,3.1833,1547,2019-05-26,0.159
10,0.4474,200,3,13.616700000000002,4697,2019-05-27,0.152
13,0.4474,200,1,3.3024,1544,2019-05-27,0.171
17,0.4474,200,2,3.4794,862,2019-05-27,0.203
19,0.4474,200,5,17.7447,8266,2019-05-27,0.261
08,0.4474,200,1,0.7628,242,2019-05-28,0.17600000000000002
11,0.4474,200,1,0.8690000000000001,365,2019-05-29,0.171
15,0.4474,200,1,0.8690000000000001,2140,2019-05-29,0.187
16,0.4474,200,1,4.7395,1392,2019-05-29,0.191
17,0.4474,200,1,6.6611,1664,2019-05-29,0.192
18,0.4474,200,2,4.4128,2002,2019-05-29,0.16899999999999998
06,0.4474,200,1,3.5003,839,2019-05-30,0.19
08,0.4474,200,2,1.6318000000000001,444,2019-05-30,0.214
12,0.4474,200,2,3.0416000000000003,865,2019-05-30,0.21899999999999997
15,0.4474,200,1,1.1153,324,2019-05-30,0.34600000000000003
16,0.4474,200,1,1.6753,403,2019-05-30,0.259
17,0.4474,200,1,2.5363,978,2019-05-30,0.29
19,0.4474,200,1,2.929,888,2019-05-30,0.257
11,0.4474,200,1,0.8690000000000001,289,2019-05-31,0.188
12,0.4474,200,3,3.1510000000000002,1342,2019-05-31,0.193
13,0.4474,200,1,0.3428,7907,2019-05-31,0.17800000000000002
15,0.4474,200,1,1.1153,390,2019-05-31,0.168
17,0.4474,200,3,6.7978000000000005,2613,2019-05-31,0.223
18,0.4474,200,2,1.8780999999999999,836,2019-05-31,0.312
20,0.4474,200,1,0.9254,499,2019-05-31,0.332
08,0.4474,200,1,2.2933,545,2019-06-01,0.243
10,0.4474,200,1,1.6753,801,2019-06-01,0.33799999999999997
12,0.4474,200,1,2.7166,2259,2019-06-01,0.317
14,0.4474,200,2,1.7380000000000002,722,2019-06-01,0.22399999999999998
07,0.4474,200,1,4.4901,1029,2019-06-02,0.134
10,0.4474,200,1,1.413,324,2019-06-02,0.155
13,0.4474,200,4,6.8766,4001,2019-06-02,0.165
15,0.4474,200,1,3.819,1327,2019-06-02,0.18
17,0.4474,200,2,2.1790000000000003,9118,2019-06-02,0.17
07,0.4474,200,2,4.5866,2139,2019-06-03,0.16
08,0.4474,200,1,1.1153,332,2019-06-03,0.147
11,0.4474,200,2,1.6318000000000001,4182,2019-06-03,0.158
13,0.4474,200,4,4.6107000000000005,2653,2019-06-03,0.14800000000000002
14,0.4474,200,1,5.8918,1680,2019-06-03,0.146
15,0.4474,200,2,2.5443000000000002,9194,2019-06-03,0.154
17,0.4474,200,3,9.9007,2465,2019-06-03,0.141
07,0.4474,200,2,4.5866,1756,2019-06-04,0.18100000000000002
08,0.4474,200,1,0.7628,262,2019-06-04,0.13
12,0.4474,200,1,0.9254,299,2019-06-04,0.129
15,0.4474,200,3,6.979700000000001,1962,2019-06-04,0.142
08,0.4474,200,1,0.7628,243,2019-06-05,0.196
10,0.4474,200,1,4.7395,1067,2019-06-05,0.191
12,0.4474,200,1,0.0,712,2019-06-05,0.21600000000000003
14,0.4474,200,2,6.4519,1911,2019-06-05,0.253
15,0.4474,200,1,4.3903,942,2019-06-05,0.287
16,0.4474,200,1,3.3828,15658,2019-06-05,0.268
17,0.4474,200,2,2.5282999999999998,689,2019-06-05,0.28300000000000003
08,0.4474,200,1,0.7628,303,2019-06-06,0.254
11,0.4474,200,1,0.8690000000000001,332,2019-06-06,0.324
15,0.4474,200,1,1.1153,433,2019-06-06,0.20600000000000002
00,0.4474,200,1,0.0,987,2019-06-07,0.2
06,0.4474,200,1,3.5003,901,2019-06-07,0.19
07,0.4474,200,1,2.7166,1964,2019-06-07,0.18899999999999997
14,0.4474,200,3,3.93,2826,2019-06-07,0.16399999999999998
16,0.4474,200,1,4.3903,987,2019-06-07,0.22899999999999998
17,0.4474,200,2,10.473700000000001,2686,2019-06-07,0.24600000000000002
18,0.4474,200,1,3.753,983,2019-06-07,0.256
13,0.4474,200,1,1.6269999999999998,733,2019-06-08,0.152
15,0.4474,200,1,1.4838,387,2019-06-08,0.151
18,0.4474,200,1,1.6303,529,2019-06-08,0.22
20,0.4474,200,1,0.9254,231,2019-06-08,0.263
07,0.4474,200,1,4.7395,949,2019-06-09,0.146
11,0.4474,200,1,1.1153,337,2019-06-09,0.129
18,0.4474,200,1,1.1072,299,2019-06-09,0.201
12,0.4474,200,3,7.2356,3375,2019-06-10,0.23199999999999998
15,0.4474,200,1,3.3024,900,2019-06-10,0.177
16,0.4474,200,1,4.3903,1081,2019-06-10,0.172
17,0.4474,200,4,19.5262,5786,2019-06-10,0.182
19,0.4474,200,2,3.3587000000000002,1016,2019-06-10,0.17600000000000002
13,0.4474,200,1,0.8690000000000001,212,2019-06-11,0.154
16,0.4474,200,4,10.4383,5169,2019-06-11,0.12
17,0.4474,200,2,5.644,1886,2019-06-11,0.129
18,0.4474,200,1,4.3903,63999,2019-06-11,0.126
20,0.4474,200,1,1.7494,402,2019-06-11,0.121
13,0.4474,200,2,3.6339,2306,2019-06-12,0.175
16,0.4474,200,4,16.3896,22988,2019-06-12,0.17
17,0.4474,200,2,6.2395,1351,2019-06-12,0.19
18,0.4474,200,1,2.5412,809,2019-06-12,0.19699999999999998
19,0.4474,200,1,3.3635,847,2019-06-12,0.166
17,0.4474,200,1,5.0163,1200,2019-06-13,0.162
19,0.4474,200,1,2.4639,679,2019-06-13,0.153
08,0.4474,200,3,6.4101,1965,2019-06-14,0.16899999999999998
10,0.4474,200,1,4.0749,1149,2019-06-14,0.166
12,0.4474,200,5,6.505,16805,2019-06-14,0.17800000000000002
14,0.4474,200,1,4.7395,1248,2019-06-14,0.192
15,0.4474,200,1,2.443,897,2019-06-14,0.191
16,0.4474,200,1,6.7496,3929,2019-06-14,0.161
17,0.4474,200,4,17.381,5197,2019-06-14,0.155
18,0.4474,200,2,6.447,1628,2019-06-14,0.14300000000000002
20,0.4474,200,1,0.8690000000000001,480,2019-06-14,0.152
11,0.4474,200,2,4.8521,1709,2019-06-15,0.166
12,0.4474,200,2,4.5207,2921,2019-06-15,0.154
15,0.4474,200,1,4.0749,1194,2019-06-15,0.154
21,0.4474,200,1,0.9254,571,2019-06-15,0.172
07,0.4474,200,1,4.7395,907,2019-06-16,0.18100000000000002
06,0.4474,200,1,3.5003,800,2019-06-17,0.325
11,0.4474,200,2,8.816,683407,2019-06-17,0.14400000000000002
12,0.4474,200,1,7.8278,90209,2019-06-17,0.159
13,0.4474,200,1,0.8690000000000001,396,2019-06-17,0.207
16,0.4474,200,2,4.0974,9357,2019-06-17,0.237
18,0.4474,200,2,1.7944,2549,2019-06-17,0.2
19,0.4474,200,2,4.886,3684,2019-06-17,0.247
20,0.4474,200,2,2.3931,588,2019-06-17,0.28300000000000003
21,0.4474,200,1,1.9618,536,2019-06-17,0.193
07,0.4474,200,1,3.2525,853,2019-06-18,0.262
08,0.4474,200,1,0.7628,308,2019-06-18,0.267
11,0.4474,200,3,17.025199999999998,16465,2019-06-18,0.302
12,0.4474,200,2,4.144,1087,2019-06-18,0.311
15,0.4474,200,1,0.7628,235,2019-06-18,0.386
18,0.4474,200,2,15.6556,387258,2019-06-18,0.392
09,0.4474,200,2,3.1848,940,2019-06-19,0.248
10,0.4474,200,1,1.1153,277,2019-06-19,0.20800000000000002
13,0.4474,200,1,0.8690000000000001,459,2019-06-19,0.243
16,0.4474,200,2,5.579599999999999,1929,2019-06-19,0.23600000000000002
17,0.4474,200,1,1.7494,557,2019-06-19,0.253
18,0.4474,200,1,7.5446,2045,2019-06-19,0.293
21,0.4474,200,1,2.2965,633,2019-06-19,0.18600000000000003
09,0.4474,200,2,2.443,3368,2019-06-20,0.225
