hora,km_to_CO,start station id,cantidad_de_viajes,distancia_recorrida_sum,duracion_del_viaje,date_local,contaminante_co
07,1.2633,12,1,3.6854,877,2019-01-02,0.19399999999999998
16,1.2633,12,2,9.424299999999999,2216,2019-01-02,0.354
19,1.2633,12,1,1.1394,256,2019-01-02,0.293
09,1.2633,12,1,0.8047,344,2019-01-03,0.381
10,1.2633,12,1,1.4983,358,2019-01-03,0.317
12,1.2633,12,1,1.3486,450,2019-01-03,0.22899999999999998
14,1.2633,12,2,2.6603,646,2019-01-03,0.233
15,1.2633,12,1,0.9785,181,2019-01-03,0.262
16,1.2633,12,3,8.9222,2007,2019-01-03,0.251
17,1.2633,12,2,2.6924,806,2019-01-03,0.252
18,1.2633,12,1,2.002,476,2019-01-03,0.37799999999999995
15,1.2633,12,1,4.3662,944,2019-01-04,0.32
16,1.2633,12,2,2.9226,769,2019-01-06,0.161
18,1.2633,12,2,4.6172,1158,2019-01-06,0.147
14,1.2633,12,2,1.9248,507,2019-01-07,0.175
08,1.2633,12,1,1.6818,562,2019-01-08,0.314
09,1.2633,12,2,2.3142,625,2019-01-08,0.27899999999999997
16,1.2633,12,6,18.235500000000002,7269,2019-01-08,0.5820000000000001
22,1.2633,12,1,3.5003,29787,2019-01-08,0.452
15,1.2633,12,4,11.1882,2624,2019-01-09,0.248
09,1.2633,12,1,0.8047,205,2019-01-10,0.179
10,1.2633,12,2,4.746,1544,2019-01-10,0.192
12,1.2633,12,1,1.1394,424,2019-01-10,0.175
15,1.2633,12,2,6.8768,1882,2019-01-10,0.172
19,1.2633,12,3,4.8329,1396,2019-01-10,0.177
15,1.2633,12,3,5.6182,1409,2019-01-11,0.19399999999999998
13,1.2633,12,2,1.7252,511,2019-01-12,0.163
08,1.2633,12,1,1.7767,617,2019-01-14,0.324
14,1.2633,12,2,6.1188,1455,2019-01-14,0.256
15,1.2633,12,1,4.7588,903,2019-01-14,0.284
17,1.2633,12,1,1.8797,491,2019-01-14,0.46
14,1.2633,12,2,4.309900000000001,2103,2019-01-15,0.195
08,1.2633,12,1,1.4983,552,2019-01-16,0.375
09,1.2633,12,1,1.3679,371,2019-01-16,0.319
10,1.2633,12,3,6.4583,1862,2019-01-16,0.275
15,1.2633,12,1,4.7588,785,2019-01-16,0.278
16,1.2633,12,5,15.208400000000001,3875,2019-01-16,0.33
18,1.2633,12,1,2.1694,567,2019-01-16,0.355
07,1.2633,12,1,2.8341,690,2019-01-17,0.205
08,1.2633,12,1,0.7242,235,2019-01-17,0.209
15,1.2633,12,1,2.6796,899,2019-01-17,0.331
16,1.2633,12,4,12.354899999999999,2878,2019-01-17,0.396
18,1.2633,12,2,6.6754999999999995,1604,2019-01-17,0.307
13,1.2633,12,1,3.7546,1320,2019-01-18,0.242
15,1.2633,12,1,0.8626,191,2019-01-18,0.261
16,1.2633,12,3,10.958,3125,2019-01-18,0.313
17,1.2633,12,2,5.0324,4710,2019-01-18,0.426
18,1.2633,12,2,2.1612999999999998,581,2019-01-18,0.368
21,1.2633,12,2,2.2305,739,2019-01-18,0.29
09,1.2633,12,1,0.8047,197,2019-01-19,0.192
15,1.2633,12,1,3.7546,926,2019-01-19,0.235
