hora,km_to_CO,start station id,cantidad_de_viajes,distancia_recorrida_sum,duracion_del_viaje,date_local,contaminante_co
15,1.3245,364,2,6.839700000000001,1739,2019-02-13,0.301
21,1.3245,364,1,0.4796,1157,2019-02-13,0.245
08,1.3245,364,3,10.111600000000001,2241,2019-02-14,0.209
10,1.3245,364,2,4.3935,975,2019-02-14,0.2
13,1.3245,364,2,0.7693,665,2019-02-14,0.213
17,1.3245,364,1,1.508,451,2019-02-14,0.335
10,1.3245,364,1,2.2322,750,2019-02-15,0.263
11,1.3245,364,1,0.7017,154,2019-02-15,0.245
11,1.3245,364,4,7.6572,2316,2019-02-16,0.19
12,1.3245,364,1,0.0,386,2019-02-16,0.177
15,1.3245,364,3,1.4034,641,2019-02-16,0.191
18,1.3245,364,1,0.0,1568,2019-02-16,0.196
10,1.3245,364,1,2.1356,408,2019-02-17,0.16899999999999998
11,1.3245,364,2,4.4514000000000005,1113,2019-02-19,0.17600000000000002
16,1.3245,364,1,0.7693,267,2019-02-19,0.198
17,1.3245,364,3,11.1431,2882,2019-02-19,0.259
06,1.3245,364,1,1.3084,675,2019-02-20,0.319
08,1.3245,364,2,7.296799999999999,2023,2019-02-20,0.35200000000000004
13,1.3245,364,1,3.0851,590,2019-02-20,0.26899999999999996
09,1.3245,364,1,3.0851,653,2019-02-21,0.41600000000000004
11,1.3245,364,1,1.3084,409,2019-02-21,0.32299999999999995
14,1.3245,364,2,5.7002999999999995,1680,2019-02-21,0.252
17,1.3245,364,1,1.6061,392,2019-02-21,0.282
18,1.3245,364,2,4.3726,2018,2019-02-21,0.313
07,1.3245,364,1,3.6275,827,2019-02-22,0.261
11,1.3245,364,2,4.6671,1343,2019-02-22,0.187
16,1.3245,364,3,4.3373,1780,2019-02-22,0.252
17,1.3245,364,1,0.4796,162,2019-02-22,0.253
18,1.3245,364,1,1.3084,374,2019-02-22,0.272
09,1.3245,364,1,3.4697,1181,2019-02-23,0.23399999999999999
10,1.3245,364,2,8.0097,3345,2019-02-23,0.253
11,1.3245,364,2,3.5406,3548,2019-02-23,0.253
14,1.3245,364,6,14.925199999999998,6322,2019-02-23,0.256
19,1.3245,364,1,0.7693,265,2019-02-23,0.353
10,1.3245,364,1,0.7017,162,2019-02-24,0.174
07,1.3245,364,1,0.861,251,2019-02-25,0.21100000000000002
10,1.3245,364,1,0.7017,227,2019-02-25,0.192
13,1.3245,364,1,0.861,267,2019-02-25,0.187
15,1.3245,364,2,2.9017,1232,2019-02-25,0.19399999999999998
21,1.3245,364,1,3.3152,840,2019-02-25,0.163
09,1.3245,364,3,3.7868000000000004,1899,2019-02-26,0.21
19,1.3245,364,2,2.1952,439,2019-02-26,0.19699999999999998
06,1.3245,364,1,1.3084,353,2019-02-27,0.193
08,1.3245,364,3,8.902899999999999,2169,2019-02-27,0.222
11,1.3245,364,1,3.0851,804,2019-02-28,0.24100000000000002
13,1.3245,364,1,1.3084,473,2019-02-28,0.225
17,1.3245,364,1,0.7017,217,2019-02-28,0.253
07,1.3245,364,1,3.6693,878,2019-03-01,0.528
17,1.3245,364,1,1.9441,442,2019-03-01,0.306
08,1.3245,364,1,3.6275,856,2019-03-05,0.265
17,1.3245,364,1,0.7693,292,2019-03-05,0.32899999999999996
09,1.3245,364,1,1.9618,440,2019-03-06,0.235
10,1.3245,364,2,0.7017,720,2019-03-06,0.207
12,1.3245,364,2,2.8373,573,2019-03-06,0.192
17,1.3245,364,1,2.5669,619,2019-03-07,0.294
07,1.3245,364,2,7.4883,1953,2019-03-08,0.314
08,1.3245,364,1,1.4935,371,2019-03-08,0.268
09,1.3245,364,1,1.3084,326,2019-03-08,0.231
10,1.3245,364,2,2.6635,546,2019-03-08,0.22
18,1.3245,364,1,1.9618,811,2019-03-08,0.373
16,1.3245,364,3,8.988299999999999,2498,2019-03-09,0.23199999999999998
09,1.3245,364,1,1.9618,539,2019-03-11,0.233
17,1.3245,364,1,2.1002,653,2019-03-11,0.225
08,1.3245,364,1,3.6275,780,2019-03-12,0.196
11,1.3245,364,1,3.0851,1000,2019-03-12,0.17600000000000002
08,1.3245,364,1,3.6275,810,2019-03-13,0.28300000000000003
09,1.3245,364,2,3.5679,959,2019-03-13,0.293
12,1.3245,364,1,1.9618,745,2019-03-13,0.22
20,1.3245,364,1,3.3619,676,2019-03-13,0.275
