hora,km_to_CO,start station id,cantidad_de_viajes,distancia_recorrida_sum,duracion_del_viaje,date_local,contaminante_co
06,1.3164,39,1,0.0,412,2019-01-01,0.151
17,1.3164,39,1,0.0,239,2019-01-01,0.19399999999999998
07,1.3164,39,3,0.0,2837,2019-01-02,0.19399999999999998
14,1.3164,39,1,0.0,905,2019-01-02,0.273
15,1.3164,39,3,0.0,2725,2019-01-02,0.33
16,1.3164,39,2,0.0,617,2019-01-02,0.354
19,1.3164,39,3,0.0,1050,2019-01-02,0.293
20,1.3164,39,2,0.0,831,2019-01-02,0.266
09,1.3164,39,1,0.0,740,2019-01-03,0.381
12,1.3164,39,1,0.0,303,2019-01-03,0.22899999999999998
14,1.3164,39,1,0.0,1333,2019-01-03,0.233
15,1.3164,39,5,0.0,4048,2019-01-03,0.262
16,1.3164,39,3,0.0,2093,2019-01-03,0.251
17,1.3164,39,4,0.0,2777,2019-01-03,0.252
18,1.3164,39,8,0.0,3510,2019-01-03,0.37799999999999995
20,1.3164,39,1,0.0,592,2019-01-03,0.307
08,1.3164,39,10,0.0,7338,2019-01-04,0.304
15,1.3164,39,2,0.0,845,2019-01-04,0.32
11,1.3164,39,5,0.0,1966,2019-01-05,0.392
11,1.3164,39,1,0.0,138,2019-01-06,0.19899999999999998
16,1.3164,39,4,0.0,2710,2019-01-06,0.161
18,1.3164,39,1,0.0,418,2019-01-06,0.147
14,1.3164,39,1,0.0,465,2019-01-07,0.175
15,1.3164,39,1,0.0,454,2019-01-07,0.20199999999999999
20,1.3164,39,1,0.0,674,2019-01-07,0.272
08,1.3164,39,8,0.0,6849,2019-01-08,0.314
09,1.3164,39,1,0.0,863,2019-01-08,0.27899999999999997
15,1.3164,39,4,0.0,2136,2019-01-08,0.39399999999999996
16,1.3164,39,1,0.0,691,2019-01-08,0.5820000000000001
22,1.3164,39,1,0.0,496,2019-01-08,0.452
10,1.3164,39,2,0.0,1132,2019-01-09,0.272
15,1.3164,39,3,0.0,1689,2019-01-09,0.248
08,1.3164,39,10,0.0,6788,2019-01-10,0.21100000000000002
09,1.3164,39,4,0.0,3054,2019-01-10,0.179
10,1.3164,39,1,0.0,117,2019-01-10,0.192
12,1.3164,39,2,0.0,700,2019-01-10,0.175
13,1.3164,39,1,0.0,235,2019-01-10,0.165
15,1.3164,39,4,0.0,1955,2019-01-10,0.172
19,1.3164,39,5,0.0,3076,2019-01-10,0.177
07,1.3164,39,4,0.0,2229,2019-01-11,0.19899999999999998
08,1.3164,39,6,0.0,4047,2019-01-11,0.196
15,1.3164,39,1,0.0,310,2019-01-11,0.19399999999999998
08,1.3164,39,1,0.0,351,2019-01-12,0.187
13,1.3164,39,2,0.0,2114,2019-01-12,0.163
08,1.3164,39,2,0.0,632,2019-01-13,0.212
09,1.3164,39,1,0.0,393,2019-01-13,0.226
10,1.3164,39,2,0.0,1304,2019-01-13,0.222
14,1.3164,39,1,0.0,338,2019-01-13,0.209
08,1.3164,39,6,0.0,3506,2019-01-14,0.324
14,1.3164,39,2,0.0,1338,2019-01-14,0.256
15,1.3164,39,3,0.0,1097,2019-01-14,0.284
17,1.3164,39,7,0.0,4521,2019-01-14,0.46
08,1.3164,39,4,0.0,2708,2019-01-15,0.31
15,1.3164,39,2,0.0,1086,2019-01-15,0.18
18,1.3164,39,9,0.0,4543,2019-01-15,0.26
08,1.3164,39,8,0.0,6160,2019-01-16,0.375
09,1.3164,39,3,0.0,1725,2019-01-16,0.319
15,1.3164,39,1,0.0,445,2019-01-16,0.278
16,1.3164,39,4,0.0,1824,2019-01-16,0.33
