hora,km_to_CO,start station id,cantidad_de_viajes,distancia_recorrida_sum,duracion_del_viaje,date_local,contaminante_co
06,0.7886,51,1,2.7826,707,2019-01-01,0.151
07,0.7886,51,1,2.9725,703,2019-01-02,0.19399999999999998
18,0.7886,51,1,4.1923,1027,2019-01-03,0.37799999999999995
08,0.7886,51,1,2.9773,742,2019-01-04,0.304
13,0.7886,51,1,2.0455,438,2019-01-04,0.23800000000000002
11,0.7886,51,2,3.6758,1159,2019-01-05,0.392
14,0.7886,51,1,1.0042,307,2019-01-07,0.175
15,0.7886,51,1,4.5593,1497,2019-01-07,0.20199999999999999
08,0.7886,51,2,9.7542,2303,2019-01-08,0.314
15,0.7886,51,2,6.4487000000000005,2027,2019-01-08,0.39399999999999996
08,0.7886,51,2,8.2994,1831,2019-01-10,0.21100000000000002
09,0.7886,51,2,5.4363,1161,2019-01-10,0.179
15,0.7886,51,1,1.656,450,2019-01-10,0.172
19,0.7886,51,1,2.1517,579,2019-01-10,0.177
07,0.7886,51,3,6.0753,1709,2019-01-11,0.19899999999999998
08,0.7886,51,2,8.2994,1974,2019-01-11,0.196
15,0.7886,51,1,2.0519,579,2019-01-11,0.19399999999999998
14,0.7886,51,2,2.3335,625,2019-01-14,0.256
15,0.7886,51,1,0.0,1042,2019-01-14,0.284
08,0.7886,51,2,5.421900000000001,1229,2019-01-15,0.31
18,0.7886,51,1,3.8753,1248,2019-01-15,0.26
08,0.7886,51,3,11.2461,2664,2019-01-16,0.375
15,0.7886,51,3,4.3355999999999995,1512,2019-01-16,0.278
18,0.7886,51,1,4.1408,1208,2019-01-16,0.355
08,0.7886,51,2,9.7542,2271,2019-01-17,0.209
13,0.7886,51,1,0.5713,221,2019-01-18,0.242
16,0.7886,51,1,1.7252,599,2019-01-18,0.313
18,0.7886,51,1,2.1517,775,2019-01-18,0.368
09,0.7886,51,1,0.0,148,2019-01-19,0.192
11,0.7886,51,1,4.0378,930,2019-01-19,0.185
12,0.7886,51,1,2.1517,2417,2019-01-19,0.22
17,0.7886,51,1,2.0455,741,2019-01-23,0.32
08,0.7886,51,2,6.344,2203,2019-01-25,0.27899999999999997
